Id,Title,Price,User_id,profileName,review/helpfulness,review/score
1861263678,Audi Quattro: The Complete Story,37.95,A5G9BP3U4N3JI,Billy,7/9,5.0
1584280352,How to Buy and Sell Used Cameras,19.95,A3JQUVUKHTVRML,Shock Writer,6/7,3.0
1584280352,How to Buy and Sell Used Cameras,19.95,A1D64RQU3CPG8O,David K. Keith,1/3,3.0
0970417543,101 Best Ways to Be Your Best,19.95,A2VA32U0WRP3BY,Frank Lunn Author of 'Carpe Aqualis!- Seize ...,1/1,5.0
0970417543,101 Best Ways to Be Your Best,19.95,A34ZDGGESIDTYM,George Petrovsky Starichok,1/1,5.0
0970417543,101 Best Ways to Be Your Best,19.95,A1I6F3UABKMUIV,Coach Phil Author of over 500 articles at ww...,0/0,5.0
0814794041,Sorcerers' Apprentices: 100 Years of Law Clerks at the United States Supreme Court,65.0,A211GMNT1HY28Q,Ronald H. Clark,15/16,5.0
0814794041,Sorcerers' Apprentices: 100 Years of Law Clerks at the United States Supreme Court,65.0,ADPJGP4A9GLQQ,Holly Blaine,1/1,5.0
0814794041,Sorcerers' Apprentices: 100 Years of Law Clerks at the United States Supreme Court,65.0,AYQ2BWAU0DOBD,P. M. Bradshaw P.M. Bradshaw,2/3,4.0
0814794041,Sorcerers' Apprentices: 100 Years of Law Clerks at the United States Supreme Court,65.0,A2XOXD1YHP1MV7,Nicholas G. Smith,1/2,5.0
0814794041,Sorcerers' Apprentices: 100 Years of Law Clerks at the United States Supreme Court,65.0,AX7JZ2GOAVK38,aa aa,8/19,5.0
006205161X,Beauty Queen,13.13,A4S06X4KESDU2,jade19721 jade19721,0/0,3.0
006205161X,Beauty Queen,13.13,A351P0HM6DNQOA,Alyse,0/0,3.0
006205161X,Beauty Queen,13.13,A1BYG89UFDDE64,Wild Cherry,0/0,3.0
006205161X,Beauty Queen,13.13,A7LRGS80JWSK2,Candice Davis Mermaid,0/0,5.0
006205161X,Beauty Queen,13.13,A3HMILMS0JTE45,T. Fowler,0/0,5.0
006205161X,Beauty Queen,13.13,A2QW6PE7TMSIRK,Legacy Princess,0/0,5.0
006205161X,Beauty Queen,13.13,A10RVJ1ETIM1BJ,Jessica L.,0/0,3.0
006205161X,Beauty Queen,13.13,A3268IW1DTBVTE,Laural H. Bourque lauralb,0/0,2.0
006205161X,Beauty Queen,13.13,A3H8J962RJOBUN,John Vance,0/0,5.0
006205161X,Beauty Queen,13.13,A1MDWO3WEK20O3,K. Anderson marista anderson,0/0,2.0
006205161X,Beauty Queen,13.13,A363JEYL0LBTG4,Samantha,1/3,5.0
006205161X,Beauty Queen,13.13,A11P1XGMFGCTT0,Kristina,1/3,5.0
006205161X,Beauty Queen,13.13,A24LF1B8OCUM4Q,Jefferey Modes,2/5,5.0
006205161X,Beauty Queen,13.13,ADK32LDETZC6A,Elizabeth,0/2,4.0
006205161X,Beauty Queen,13.13,AFM5J19ZV4IW4,Lana Claire and Laura,0/2,4.0
006205161X,Beauty Queen,13.13,A9NHAQYC0LZCX,Cerridwen,0/2,4.0
006205161X,Beauty Queen,13.13,A2E1MQ37OAU7VT,Danielle,0/2,4.0
006205161X,Beauty Queen,13.13,A25HKEGXUN7YPD,Bernie Weisz a historian specializing in the...,1/1,4.0
006205161X,Beauty Queen,13.13,AZW80DUZ60EVB,Ivy nonfiction specialist,1/1,4.0
006205161X,Beauty Queen,13.13,A32ILS5RSEXCM9,Hilary Vicknair,1/1,5.0
006205161X,Beauty Queen,13.13,A3VO7Z1UP22PH0,dyingbydesign Locked inside your heart shape...,1/1,5.0
006205161X,Beauty Queen,13.13,A2G6FSS5B6QIDZ,milhouse24,1/1,1.0
006205161X,Beauty Queen,13.13,A13W0872YKU6NA,Sarah Ali,3/4,5.0
006205161X,Beauty Queen,13.13,A1TCADY4H979ZU,Colette,0/0,5.0
006205161X,Beauty Queen,13.13,A3FWS5VY7DNNR6,L. D Musselwhite moon-eyed,0/1,3.0
006205161X,Beauty Queen,13.13,A2FE8P3R4QBLP5,Billy Nunez,0/1,5.0
006205161X,Beauty Queen,13.13,A35VLTO880XIJ9,amanda,0/1,5.0
006205161X,Beauty Queen,13.13,A2FCVS3YFIH4Z6,Sandi Strehlau,0/1,4.0
006205161X,Beauty Queen,13.13,A1Q4D46VM8NVR3,twilliam,3/6,3.0
006205161X,Beauty Queen,13.13,A3AKDEM3ZSO9OB,Natalie,1/3,5.0
006205161X,Beauty Queen,13.13,A1RRYJEW4UT76Z,idolblonde,0/0,1.0
006205161X,Beauty Queen,13.13,A2UNMBZQLSPXEP,lygophilia,0/0,4.0
006205161X,Beauty Queen,13.13,A2LQTZOMEELFJW,Sheryl Duffer,0/0,5.0
006205161X,Beauty Queen,13.13,A25OVD5JYE8EM3,Witch Angel,0/0,4.0
006205161X,Beauty Queen,13.13,APO4GSF1XIBCX,Mickey,0/0,5.0
006205161X,Beauty Queen,13.13,A1ZXF1MOZZYAJC,boycat,0/0,5.0
006205161X,Beauty Queen,13.13,A2TFFR3O784DHV,Liberty,0/3,5.0
006205161X,Beauty Queen,13.13,A1JFP9YI54470G,E. Bogan,0/4,5.0
006205161X,Beauty Queen,13.13,AKIL8CJSNRMD7,YEI ~ Vonny ~,1/6,4.0
006205161X,Beauty Queen,13.13,A178JLKF2I5PV5,Samantha,0/5,4.0
006205161X,Beauty Queen,13.13,A2PN7Z2VTHICL8,Schtinky Schtinky,11/13,4.0
006205161X,Beauty Queen,13.13,A3C1VFCKWJE3S9,Richard Thomas,17/20,2.0
006205161X,Beauty Queen,13.13,A3654ESE7I3IGL,R. tudisco,4/4,5.0
006205161X,Beauty Queen,13.13,A2NMDMSPX0ZQU2,Deborah Sporich,4/4,5.0
006205161X,Beauty Queen,13.13,A2SDIMEUO0LVAG,Sam,5/6,5.0
006205161X,Beauty Queen,13.13,A35VLTO880XIJ9,amanda,0/0,5.0
006205161X,Beauty Queen,13.13,A2HZ7QF9FWEDXM,Susan,0/0,4.0
006205161X,Beauty Queen,13.13,A461VTLW9G9YB,Dance Dance Dance,1/2,2.0
006205161X,Beauty Queen,13.13,A34VQXL3I0TT2Q,Megan Reynolds,1/2,4.0
006205161X,Beauty Queen,13.13,A1FFRC35OXM7AM,Shauna,1/2,5.0
006205161X,Beauty Queen,13.13,A1CY3NAVE0WPCE,brittney.,1/2,2.0
006205161X,Beauty Queen,13.13,A9U8IJV2M5RGT,K. Oso,6/10,1.0
006205161X,Beauty Queen,13.13,AO29EZTST105Q,yahira,6/10,5.0
006205161X,Beauty Queen,13.13,AWW9AXVVBKNO4,Laurin LeStrange,0/1,5.0
0942979230,A Bad Piece of Luck,9.95,AHPOI1Z01PG8V,C. S. Lant CEO Stickin' it to the Man Inc.,0/0,5.0
0312163967,The Economics of Asymmetric Information,115.0,A37XUNT33S9QLT,Charles N Steele,3/3,4.0
0312163967,The Economics of Asymmetric Information,115.0,A3U7YGEITKJ9YQ,nora,1/2,5.0
0595318568,The True Story of Manse Jolly Part II: As Told by the Hon. A.W. Fries,13.95,A1J4IRXX1BTVYB,Babs math teacher,0/0,4.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A1LOXFSH4BGC4I,Patrick Evans Darth Caedus,0/0,5.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A3J2TQASBY4ROE,Katrin von Martin,0/0,4.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A3S93QE0WKA86M,Ec Carlos Troya,0/0,4.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,AGNOTP6KXPZE2,S. A. Blum jedigal,3/5,3.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A1D702T7C8VDBL,R. Howell boriskhan,1/2,3.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A2NNTNC715AJ50,J. K. Moser JKM,6/11,3.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A16IB18HE0J7HM,Drew Atreides Almeida,5/10,2.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A33F62QWSRDMGH,Christopher Boie,1/5,4.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A3KE43RLZ560WP,Excellence Excellence,6/26,3.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A1KZ31LXHXUNQQ,Rebekah Martin,34/35,5.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A1KO78VA7H4YXH,Rob Anybody consular,11/11,5.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,AYLGTH71UQULL,Damien,8/8,4.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A1AF3KH4P72LLT,A. C. Longtin,6/6,4.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A3D2RLODS1C1XO,Skywalker fan GMS,5/5,5.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A2TIX2EH0DSUZJ,C. L Wright,5/5,5.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,AMJGSFW75A7EN,Samantha,7/8,3.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A2P3NK1WSCSAHD,Tesar Sebatyne,4/4,5.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A33V62SGQM2WXA,Jesse S. Tappin jstapp0,4/4,5.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A2WP0GOTX13MG4,DJK ver 2.0 Reader and Movie Buff,4/4,4.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A3EV8T4TB5FRYY,Trip Creech,0/0,4.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A224BKBLXVA859,Rocky Sunico,0/0,3.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A115W0R1T72KZ4,Darth Sidious Dark Lord Of The Sith,0/0,5.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A22CW0ZHY3NJH8,Noname,0/0,3.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A3SZMGJMV0G16C,Andrew Pruette Rancors Love to Read,0/0,2.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A2VZIH75IMKB5L,Darth Bane Dark Lord Of The Sith,0/0,5.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A3Q5PCQTZCO7C3,adventVariance,0/0,1.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,AQCQ5F0OJXMG9,Crystal Starr Light,0/0,3.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A3EKZQK46ULJ55,Tarik E. Sivonen siv82,0/0,5.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A2TQ3XWGG57HFU,K. McMillan What do you see when you stand a...,0/0,3.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A16E0Y3MS14A81,tyrex316,4/4,5.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,ARPNJFA3F2QCA,James Rosenthal,6/7,4.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A3GRTJ7KR0N0WH,ann,2/2,1.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A2FL0Q3JYLL56R,Joe Sith,2/2,5.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A3Q5QOWMVPTAN2,James Chapman WarriorForge,6/8,4.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A2TNRPMM3ZRKWE,Jedi Master Snicket (JMB),1/1,5.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A8OELWIS545JK,Joseph P. Pintar,3/4,5.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A20F0VHBQ48NFF,Andromeda,3/4,5.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A390AB86KJF0SK,Texas Raider,3/4,5.0
034546303X,The Unseen Queen (Star Wars: Dark Nest Book 2),7.99,A2EAGQWXJTL7XV,Timothy A. Mobley,5/7,3.0
1891845047,630 Questions & Answers About Chinese Herbal Medicine: A Workbook & Study Guide,29.95,A1LCCH24TM6VVL,J. Bangs Jazapple!,0/0,5.0
1891845047,630 Questions & Answers About Chinese Herbal Medicine: A Workbook & Study Guide,29.95,A1XPBRFYIDUQ9U,A. F. Harris roots detective,1/3,4.0
0195143450,Developmental Instability: Causes and Consequences,160.0,ARYV7D2TIR846,Michal Polak,1/2,5.0
0321236165,John Keats A Longman Cultural Edition,17.0,A1NJ27DH0OYG4W,Endymion,7/8,5.0
0072130474,Building Web Services and .NET Applications,54.95,A71Q0XGAA1MMJ,David L. Silverlight XML Geek,15/18,2.0
0072130474,Building Web Services and .NET Applications,54.95,A154YIEXBNMCQU,Salvador Aldrett Lee,5/5,1.0
0072130474,Building Web Services and .NET Applications,54.95,A2J8J1QFPQJJ7M,A reader from Washington DC,4/4,5.0
0072130474,Building Web Services and .NET Applications,54.95,AEWYLYPPALA82,jaspeer,3/3,5.0
0072130474,Building Web Services and .NET Applications,54.95,A3T683CXVUKXEU,Jorge Oblitas,1/1,5.0
0072130474,Building Web Services and .NET Applications,54.95,AEUUQ215U3HAE,Abdelmalek Kemmou,1/1,5.0
0072130474,Building Web Services and .NET Applications,54.95,A2EO5WQJUVIJAM,John Do,1/8,5.0
0072130474,Building Web Services and .NET Applications,54.95,A2EP9R4CJ07NGN,Ingeniero Luna,1/14,5.0
0072130474,Building Web Services and .NET Applications,54.95,A3G524DCSJZGKV,Book worm Jani,0/0,1.0
0072130474,Building Web Services and .NET Applications,54.95,A2H61BDY3K64RU,N. Jayasimha Jay,0/0,4.0
0072130474,Building Web Services and .NET Applications,54.95,AKTX1U8AYVQEW,holmes363,0/0,5.0
0072130474,Building Web Services and .NET Applications,54.95,A2GNXYRR7M84XI,Mark Scott,0/0,5.0
0072130474,Building Web Services and .NET Applications,54.95,A2KXK6B50YDKYQ,Prasad Reddy Prasad,0/1,4.0
0072130474,Building Web Services and .NET Applications,54.95,AVFTYFB1OXF6C,Kenneth Papai,0/1,5.0
0072130474,Building Web Services and .NET Applications,54.95,AF0RFR7PMAZRR,Keith P,0/1,5.0
0553584642,I Could Never Be So Lucky Again,7.99,AIG7EP2PG19Y0,Nariaki Imamura,2/2,5.0
0553584642,I Could Never Be So Lucky Again,7.99,A1E0TMWDFU3D7M,Robert J. Haber,2/2,5.0
0553584642,I Could Never Be So Lucky Again,7.99,A2NXLMNPSZ6P0,Dave,1/1,4.0
0553584642,I Could Never Be So Lucky Again,7.99,A3NAZWL1031CKQ,Sid Sutherland,1/1,5.0
0553584642,I Could Never Be So Lucky Again,7.99,A2ITDFI1PIWRNZ,pelly7,2/3,5.0
0553584642,I Could Never Be So Lucky Again,7.99,A1WZVPI9M55IBW,Mike,0/0,5.0
0553584642,I Could Never Be So Lucky Again,7.99,AZXEZRXZQL1H2,Elizabeth C. Foster texascrowe,0/0,5.0
0553584642,I Could Never Be So Lucky Again,7.99,A3U79HYPSMCKPD,Phillip N. Hocker,0/0,5.0
0553584642,I Could Never Be So Lucky Again,7.99,AJM49YN8B5SCZ,foxtrotoscar,0/0,5.0
0553584642,I Could Never Be So Lucky Again,7.99,A3KTN5FAMUV36H,Flying Photographer,0/0,4.0
0553584642,I Could Never Be So Lucky Again,7.99,A1W4IK4EYLULF0,Vernon Jones,0/0,4.0
0553584642,I Could Never Be So Lucky Again,7.99,A19PCS3DCCV0CK,Lisa Dellone,0/0,5.0
0553584642,I Could Never Be So Lucky Again,7.99,AVLTYRZ0PIXMD,JudgeG,0/0,4.0
0553584642,I Could Never Be So Lucky Again,7.99,AI5OR1HSYXCCL,Steve Dietrich,0/0,5.0
0553584642,I Could Never Be So Lucky Again,7.99,A2TKQQNFILS6YV,Cary Alburn,0/0,4.0
0553584642,I Could Never Be So Lucky Again,7.99,A2J2C911VTD7IF,RetiredRacer,0/0,5.0
0553584642,I Could Never Be So Lucky Again,7.99,AS02S4R54V2JU,clearflyr,0/0,5.0
0553584642,I Could Never Be So Lucky Again,7.99,A289EPXN4WOOLR,Shoveldog,0/0,5.0
0553584642,I Could Never Be So Lucky Again,7.99,A2KMAJCFL4EZYU,baronpilot,0/0,5.0
0553584642,I Could Never Be So Lucky Again,7.99,A23WPBQAUYWM0V,Roberto C. De Berredo,0/0,5.0
0553584642,I Could Never Be So Lucky Again,7.99,AGKPTMTR3UX1R,J. H. Minde Everything I need is right here,29/30,5.0
0553584642,I Could Never Be So Lucky Again,7.99,A2JT6BO9PW4Q8O,David Traill,17/17,5.0
0553584642,I Could Never Be So Lucky Again,7.99,A2D9IEFJGB483Q,Kendal B. Hunter,24/28,3.0
0553584642,I Could Never Be So Lucky Again,7.99,A2RC2ZMC9NRLJM,James Hercules Sutton,6/6,4.0
0553584642,I Could Never Be So Lucky Again,7.99,A2IO1WUMF2S7CR,jackie,5/5,1.0
0553584642,I Could Never Be So Lucky Again,7.99,A67JWMYPGCX9Y,Larry Fellow Traveler,5/5,4.0
0553584642,I Could Never Be So Lucky Again,7.99,A1DL822FZZQA00,Michael E. Hill Major Rassendyll,3/3,4.0
0553584642,I Could Never Be So Lucky Again,7.99,A3L9TQWMW65P54,Goody,0/0,5.0
0553584642,I Could Never Be So Lucky Again,7.99,A3LMBL1EDZZ894,Naftali Maimon,0/0,5.0
0553584642,I Could Never Be So Lucky Again,7.99,A3EIWI0IIH0XNR,Jeff Jackson Jeffryjax,0/0,5.0
0553584642,I Could Never Be So Lucky Again,7.99,A8P1QPXWUUIMJ,Lee Carzo,0/0,5.0
0553584642,I Could Never Be So Lucky Again,7.99,A1G6893KV3IMP2,Steve,0/0,4.0
0553584642,I Could Never Be So Lucky Again,7.99,AUNWU65P164H2,Ricky,0/0,4.0
0553584642,I Could Never Be So Lucky Again,7.99,ABQEKKRD6WZFA,cpt matt,0/0,5.0
0553584642,I Could Never Be So Lucky Again,7.99,AMNL42W793G2Y,Oscar Marquette,2/11,2.0
0521556538,Computational Transport Phenomena: Numerical Methods for the Solution of Transport Problems,86.08,A28V2DU3KCCSW0,squintavalla@usga.org,4/5,5.0
0521556538,Computational Transport Phenomena: Numerical Methods for the Solution of Transport Problems,86.08,A20WYO5WJYBQ2Y,J. Lee,0/2,5.0
0415924340,Pathways to Democracy: The Political Economy of Democratic Transitions,54.95,ATBT4PBI19YZ8,ricey19,0/0,5.0
1920731016,The Fur,16.5,A2Q4ELE0MMB23A,Nicole L. James,2/2,5.0
0226264149,Two Lucky People: Memoirs,29.51,A2IM13LZJL7WA9,Curt Weil curtweil,17/17,5.0
